Id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
236,Volkswagen Dasher,30.5,4,97.0,78.0,2190.0,14.1,77,Europe
237,Datsun 810,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
238,BMW 320i,21.5,4,121.0,110.0,2600.0,12.8,77,Europe
239,Mazda RX-4,21.5,3,80.0,110.0,2720.0,13.5,77,Japan
240,Volkswagen Rabbit Custom Diesel,43.1,4,90.0,48.0,1985.0,21.5,78,Europe
241,Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
242,Mazda GLC Deluxe,32.8,4,78.0,52.0,1985.0,19.4,78,Japan
243,Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
244,Honda Civic CVCC,36.1,4,91.0,60.0,1800.0,16.4,78,Japan
245,Oldsmobile Cutlass Salon Brougham,19.9,8,260.0,110.0,3365.0,15.5,78,US
246,Dodge Diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,US
247,Mercury Monarch ghia,20.2,8,302.0,139.0,3570.0,12.8,78,US
248,Pontiac Phoenix LJ,19.2,6,231.0,105.0,3535.0,19.2,78,US
249,Chevrolet Malibu,20.5,6,200.0,95.0,3155.0,18.2,78,US
250,Ford Fairmont (auto),20.2,6,200.0,85.0,2965.0,15.8,78,US
251,Ford Fairmont (man),25.1,4,140.0,88.0,2720.0,15.4,78,US
252,Plymouth Volare,20.5,6,225.0,100.0,3430.0,17.2,78,US
253,AMC Concord,19.4,6,232.0,90.0,3210.0,17.2,78,US
254,Buick Century Special,20.6,6,231.0,105.0,3380.0,15.8,78,US
255,Mercury Zephyr,20.8,6,200.0,85.0,3070.0,16.7,78,US
256,Dodge Aspen,18.6,6,225.0,110.0,3620.0,18.7,78,US
257,AMC Concord d/l,18.1,6,258.0,120.0,3410.0,15.1,78,US
258,Chevrolet Monte Carlo Landau,19.2,8,305.0,145.0,3425.0,13.2,78,US
259,Buick Regal Sport Coupe (turbo),17.7,6,231.0,165.0,3445.0,13.4,78,US
260,Ford Futura,18.1,8,302.0,139.0,3205.0,11.2,78,US
261,Dodge Magnum XE,17.5,8,318.0,140.0,4080.0,13.7,78,US
262,Chevrolet Chevette,30.0,4,98.0,68.0,2155.0,16.5,78,US
263,Toyota Corolla,27.5,4,134.0,95.0,2560.0,14.2,78,Japan
264,Datsun 510,27.2,4,119.0,97.0,2300.0,14.7,78,Japan
265,Dodge Omni,30.9,4,105.0,75.0,2230.0,14.5,78,US
266,Toyota Celica GT Liftback,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
267,Plymouth Sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,US
268,Oldsmobile Starfire SX,23.8,4,151.0,85.0,2855.0,17.6,78,US
269,Datsun 200-SX,23.9,4,119.0,97.0,2405.0,14.9,78,Japan
270,Audi 5000,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
271,Volvo 264gl,17.0,6,163.0,125.0,3140.0,13.6,78,Europe
272,Saab 99gle,21.6,4,121.0,115.0,2795.0,15.7,78,Europe
273,Peugeot 604sl,16.2,6,163.0,133.0,3410.0,15.8,78,Europe
274,Volkswagen Scirocco,31.5,4,89.0,71.0,1990.0,14.9,78,Europe
275,Honda Accord LX,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
276,Pontiac Lemans V6,21.5,6,231.0,115.0,3245.0,15.4,79,US
277,Mercury Zephyr 6,19.8,6,200.0,85.0,2990.0,18.2,79,US
278,Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
279,AMC Concord DL 6,20.2,6,232.0,90.0,3265.0,18.2,79,US
280,Dodge Aspen 6,20.6,6,225.0,110.0,3360.0,16.6,79,US
281,Chevrolet Caprice Classic,17.0,8,305.0,130.0,3840.0,15.4,79,US
282,Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
283,Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
284,Dodge St. Regis,18.2,8,318.0,135.0,3830.0,15.2,79,US
285,Buick Estate Wagon (sw),16.9,8,350.0,155.0,4360.0,14.9,79,US
286,Ford Country Squire (sw),15.5,8,351.0,142.0,4054.0,14.3,79,US
287,Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.0,15.0,79,US
288,Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0,3940.0,13.0,79,US
289,Volkswagen Rabbit Custom,31.9,4,89.0,71.0,1925.0,14.0,79,Europe
290,Mazda GLC Deluxe,34.1,4,86.0,65.0,1975.0,15.2,79,Japan
291,Dodge Colt Hatchback Custom,35.7,4,98.0,80.0,1915.0,14.4,79,US
292,AMC Spirit DL,27.4,4,121.0,80.0,2670.0,15.0,79,US
293,Mercedes Benz 300d,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
294,Cadillac Eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,US
295,Peugeot 504,27.2,4,141.0,71.0,3190.0,24.8,79,Europe
296,Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,90.0,3420.0,22.2,79,US
297,Plymouth Horizon,34.2,4,105.0,70.0,2200.0,13.2,79,US
298,Plymouth Horizon TC3,34.5,4,105.0,70.0,2150.0,14.9,79,US
299,Datsun 210,31.8,4,85.0,65.0,2020.0,19.2,79,Japan
300,Fiat Strada Custom,37.3,4,91.0,69.0,2130.0,14.7,79,Europe
301,Buick Skylark Limited,28.4,4,151.0,90.0,2670.0,16.0,79,US
302,Chevrolet Citation,28.8,6,173.0,115.0,2595.0,11.3,79,US
303,Oldsmobile Omega Brougham,26.8,6,173.0,115.0,2700.0,12.9,79,US
304,Pontiac Phoenix,33.5,4,151.0,90.0,2556.0,13.2,79,US
305,Volkswagen Rabbit,41.5,4,98.0,76.0,2144.0,14.7,80,Europe
306,Toyota Corolla Tercel,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
307,Chevrolet Chevette,32.1,4,98.0,70.0,2120.0,15.5,80,US
308,Datsun 310,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
309,Chevrolet Citation,28.0,4,151.0,90.0,2678.0,16.5,80,US
310,Ford Fairmont,26.4,4,140.0,88.0,2870.0,18.1,80,US
311,AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
312,Dodge Aspen,19.1,6,225.0,90.0,3381.0,18.7,80,US
313,Audi 4000,34.3,4,97.0,78.0,2188.0,15.8,80,Europe
314,Toyota Corolla Liftback,29.8,4,134.0,90.0,2711.0,15.5,80,Japan
315,Mazda 626,31.3,4,120.0,75.0,2542.0,17.5,80,Japan
316,Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
317,Toyota Corolla,32.2,4,108.0,75.0,2265.0,15.2,80,Japan
318,Mazda GLC,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
319,Dodge Colt,27.9,4,156.0,105.0,2800.0,14.4,80,US
320,Datsun 210,40.8,4,85.0,65.0,2110.0,19.2,80,Japan
321,Volkswagen Rabbit C (Diesel),44.3,4,90.0,48.0,2085.0,21.7,80,Europe
322,Volkswagen Dasher (diesel),43.4,4,90.0,48.0,2335.0,23.7,80,Europe
323,Audi 5000s (diesel),36.4,5,121.0,67.0,2950.0,19.9,80,Europe
324,Mercedes-Benz 240d,30.0,4,146.0,67.0,3250.0,21.8,80,Europe
325,Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
326,Subaru DL,33.8,4,97.0,67.0,2145.0,18.0,80,Japan
327,Volkswagen Rabbit,29.8,4,89.0,62.0,1845.0,15.3,80,Europe
328,Datsun 280-ZX,32.7,6,168.0,132.0,2910.0,11.4,80,Japan
329,Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
330,Triumph TR7 Coupe,35.0,4,122.0,88.0,2500.0,15.1,80,Europe
331,Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
332,Plymouth Reliant,27.2,4,135.0,84.0,2490.0,15.7,81,US
333,Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US
334,Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US
335,Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US
336,Plymouth Reliant,30.0,4,135.0,84.0,2385.0,12.9,81,US
337,Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
338,Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
339,Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
340,Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
341,Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
342,Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
343,Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
